"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 18:10:09 GMT 2023","Wed Oct 11 18:10:26 GMT 2023","16304","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Oct 11 18:11:06 GMT 2023","Wed Oct 11 18:11:21 GMT 2023","14874","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Oct 11 18:09:39 GMT 2023","Wed Oct 11 18:09:54 GMT 2023","14346","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Oct 11 18:10:03 GMT 2023","Wed Oct 11 18:10:07 GMT 2023","4453","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Oct 11 18:10:53 GMT 2023","Wed Oct 11 18:11:03 GMT 2023","10566","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Oct 11 18:11:21 GMT 2023","Wed Oct 11 18:11:29 GMT 2023","8518","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Oct 11 18:10:26 GMT 2023","Wed Oct 11 18:10:40 GMT 2023","14535","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Oct 11 18:11:29 GMT 2023","Wed Oct 11 18:11:39 GMT 2023","10031","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Oct 11 18:10:40 GMT 2023","Wed Oct 11 18:10:53 GMT 2023","12607","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Oct 11 18:09:56 GMT 2023","Wed Oct 11 18:10:02 GMT 2023","6589","","Validação Banner","","","","Deve validar o baner do portal",""
