"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 10:51:06 GMT 2024","Thu Jan 04 10:51:12 GMT 2024","5871","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Thu Jan 04 10:52:11 GMT 2024","Thu Jan 04 10:52:19 GMT 2024","7918","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Jan 04 10:51:51 GMT 2024","Thu Jan 04 10:52:00 GMT 2024","8800","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Thu Jan 04 10:52:01 GMT 2024","Thu Jan 04 10:52:11 GMT 2024","10025","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Jan 04 10:51:31 GMT 2024","Thu Jan 04 10:51:41 GMT 2024","10314","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Jan 04 10:51:18 GMT 2024","Thu Jan 04 10:51:31 GMT 2024","13230","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Jan 04 10:52:19 GMT 2024","Thu Jan 04 10:52:24 GMT 2024","4491","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Jan 04 10:51:12 GMT 2024","Thu Jan 04 10:51:16 GMT 2024","4217","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Thu Jan 04 10:50:55 GMT 2024","Thu Jan 04 10:51:04 GMT 2024","9052","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Jan 04 10:51:41 GMT 2024","Thu Jan 04 10:51:51 GMT 2024","9496","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
