"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 10:39:52 GMT 2023","Mon Oct 23 10:40:01 GMT 2023","9452","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Mon Oct 23 10:38:49 GMT 2023","Mon Oct 23 10:38:57 GMT 2023","8572","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Oct 23 10:40:03 GMT 2023","Mon Oct 23 10:40:15 GMT 2023","11581","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Oct 23 10:39:06 GMT 2023","Mon Oct 23 10:39:10 GMT 2023","3451","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Mon Oct 23 10:39:40 GMT 2023","Mon Oct 23 10:39:52 GMT 2023","11386","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Mon Oct 23 10:39:00 GMT 2023","Mon Oct 23 10:39:06 GMT 2023","6716","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Mon Oct 23 10:39:27 GMT 2023","Mon Oct 23 10:39:40 GMT 2023","12955","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Oct 23 10:39:12 GMT 2023","Mon Oct 23 10:39:27 GMT 2023","14907","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Oct 23 10:40:15 GMT 2023","Mon Oct 23 10:40:23 GMT 2023","8192","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Mon Oct 23 10:40:23 GMT 2023","Mon Oct 23 10:40:26 GMT 2023","3174","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
