"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 15 10:24:18 GMT 2023","Wed Nov 15 10:24:26 GMT 2023","7476","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 15 10:24:31 GMT 2023","Wed Nov 15 10:24:34 GMT 2023","2925","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Nov 15 10:25:32 GMT 2023","Wed Nov 15 10:25:35 GMT 2023","3095","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 15 10:24:48 GMT 2023","Wed Nov 15 10:24:59 GMT 2023","10246","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Nov 15 10:25:25 GMT 2023","Wed Nov 15 10:25:32 GMT 2023","6941","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Nov 15 10:25:17 GMT 2023","Wed Nov 15 10:25:25 GMT 2023","7568","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Nov 15 10:24:27 GMT 2023","Wed Nov 15 10:24:31 GMT 2023","4230","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Nov 15 10:25:08 GMT 2023","Wed Nov 15 10:25:16 GMT 2023","7665","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Nov 15 10:24:59 GMT 2023","Wed Nov 15 10:25:08 GMT 2023","9417","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Nov 15 10:24:36 GMT 2023","Wed Nov 15 10:24:48 GMT 2023","12522","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
