"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 10:56:54 GMT 2023","Mon Oct 23 10:57:03 GMT 2023","9447","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Mon Oct 23 10:55:36 GMT 2023","Mon Oct 23 10:55:41 GMT 2023","5247","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Mon Oct 23 10:56:42 GMT 2023","Mon Oct 23 10:56:54 GMT 2023","11988","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Oct 23 10:57:03 GMT 2023","Mon Oct 23 10:57:07 GMT 2023","3796","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Oct 23 10:55:23 GMT 2023","Mon Oct 23 10:55:34 GMT 2023","10121","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Oct 23 10:55:48 GMT 2023","Mon Oct 23 10:56:04 GMT 2023","16454","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Oct 23 10:56:04 GMT 2023","Mon Oct 23 10:56:18 GMT 2023","13451","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Oct 23 10:56:29 GMT 2023","Mon Oct 23 10:56:39 GMT 2023","10113","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Oct 23 10:55:41 GMT 2023","Mon Oct 23 10:55:46 GMT 2023","4490","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Mon Oct 23 10:56:18 GMT 2023","Mon Oct 23 10:56:29 GMT 2023","11581","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
