"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 10:32:41 GMT 2023","Wed Dec 27 10:32:53 GMT 2023","12663","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Dec 27 10:32:21 GMT 2023","Wed Dec 27 10:32:31 GMT 2023","9809","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Dec 27 10:32:31 GMT 2023","Wed Dec 27 10:32:39 GMT 2023","8382","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Dec 27 10:33:02 GMT 2023","Wed Dec 27 10:33:05 GMT 2023","3075","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Dec 27 10:31:58 GMT 2023","Wed Dec 27 10:32:10 GMT 2023","12391","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Dec 27 10:32:10 GMT 2023","Wed Dec 27 10:32:21 GMT 2023","10708","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Wed Dec 27 10:31:37 GMT 2023","Wed Dec 27 10:31:46 GMT 2023","9381","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Dec 27 10:31:48 GMT 2023","Wed Dec 27 10:31:53 GMT 2023","5544","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Dec 27 10:32:53 GMT 2023","Wed Dec 27 10:33:02 GMT 2023","8525","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Dec 27 10:31:53 GMT 2023","Wed Dec 27 10:31:56 GMT 2023","2767","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
