"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 23 10:05:04 GMT 2023","Thu Nov 23 10:05:11 GMT 2023","6462","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Nov 23 10:04:56 GMT 2023","Thu Nov 23 10:05:04 GMT 2023","8366","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Nov 23 10:04:46 GMT 2023","Thu Nov 23 10:04:54 GMT 2023","8450","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Nov 23 10:04:36 GMT 2023","Thu Nov 23 10:04:46 GMT 2023","9907","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Nov 23 10:04:09 GMT 2023","Thu Nov 23 10:04:12 GMT 2023","3318","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Thu Nov 23 10:05:11 GMT 2023","Thu Nov 23 10:05:13 GMT 2023","2514","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Thu Nov 23 10:03:54 GMT 2023","Thu Nov 23 10:04:03 GMT 2023","8771","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Nov 23 10:04:25 GMT 2023","Thu Nov 23 10:04:36 GMT 2023","10708","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Nov 23 10:04:13 GMT 2023","Thu Nov 23 10:04:25 GMT 2023","11855","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Nov 23 10:04:04 GMT 2023","Thu Nov 23 10:04:08 GMT 2023","4189","","Validação Banner","","","","Deve validar o baner do portal",""
