"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 10:52:37 GMT 2024","Mon Jan 08 10:52:40 GMT 2024","3470","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Mon Jan 08 10:52:19 GMT 2024","Mon Jan 08 10:52:29 GMT 2024","10049","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Jan 08 10:53:48 GMT 2024","Mon Jan 08 10:53:52 GMT 2024","3683","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Mon Jan 08 10:52:55 GMT 2024","Mon Jan 08 10:53:06 GMT 2024","10867","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Mon Jan 08 10:53:06 GMT 2024","Mon Jan 08 10:53:16 GMT 2024","9753","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Mon Jan 08 10:53:16 GMT 2024","Mon Jan 08 10:53:24 GMT 2024","8093","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Jan 08 10:52:31 GMT 2024","Mon Jan 08 10:52:37 GMT 2024","5615","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Mon Jan 08 10:53:26 GMT 2024","Mon Jan 08 10:53:39 GMT 2024","13608","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Jan 08 10:52:42 GMT 2024","Mon Jan 08 10:52:55 GMT 2024","13710","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Mon Jan 08 10:53:39 GMT 2024","Mon Jan 08 10:53:48 GMT 2024","8720","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
