"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 11:09:42 GMT 2023","Wed Nov 01 11:09:56 GMT 2023","13609","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Nov 01 11:10:21 GMT 2023","Wed Nov 01 11:10:35 GMT 2023","13830","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Nov 01 11:08:57 GMT 2023","Wed Nov 01 11:09:09 GMT 2023","12375","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 01 11:10:44 GMT 2023","Wed Nov 01 11:10:49 GMT 2023","4381","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 01 11:09:27 GMT 2023","Wed Nov 01 11:09:42 GMT 2023","15645","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Nov 01 11:09:12 GMT 2023","Wed Nov 01 11:09:19 GMT 2023","7095","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Nov 01 11:10:35 GMT 2023","Wed Nov 01 11:10:44 GMT 2023","9749","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Nov 01 11:09:20 GMT 2023","Wed Nov 01 11:09:24 GMT 2023","4389","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Nov 01 11:10:08 GMT 2023","Wed Nov 01 11:10:18 GMT 2023","10607","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Nov 01 11:09:56 GMT 2023","Wed Nov 01 11:10:08 GMT 2023","11991","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
