"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 29 11:11:29 GMT 2023","Fri Dec 29 11:11:37 GMT 2023","7361","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Dec 29 11:12:30 GMT 2023","Fri Dec 29 11:12:42 GMT 2023","11819","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Dec 29 11:11:48 GMT 2023","Fri Dec 29 11:12:00 GMT 2023","11749","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Dec 29 11:11:38 GMT 2023","Fri Dec 29 11:11:43 GMT 2023","4411","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Fri Dec 29 11:12:50 GMT 2023","Fri Dec 29 11:12:53 GMT 2023","3024","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Dec 29 11:12:00 GMT 2023","Fri Dec 29 11:12:10 GMT 2023","10781","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Dec 29 11:12:20 GMT 2023","Fri Dec 29 11:12:28 GMT 2023","8228","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Dec 29 11:11:43 GMT 2023","Fri Dec 29 11:11:46 GMT 2023","3340","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Dec 29 11:12:10 GMT 2023","Fri Dec 29 11:12:20 GMT 2023","9723","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Fri Dec 29 11:12:42 GMT 2023","Fri Dec 29 11:12:50 GMT 2023","8568","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
