"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 10:21:47 GMT 2023","Tue Dec 19 10:21:58 GMT 2023","10787","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Dec 19 10:21:35 GMT 2023","Tue Dec 19 10:21:47 GMT 2023","12151","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Tue Dec 19 10:21:58 GMT 2023","Tue Dec 19 10:22:08 GMT 2023","10024","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Dec 19 10:22:29 GMT 2023","Tue Dec 19 10:22:37 GMT 2023","8657","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Tue Dec 19 10:21:16 GMT 2023","Tue Dec 19 10:21:24 GMT 2023","8089","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Dec 19 10:21:30 GMT 2023","Tue Dec 19 10:21:33 GMT 2023","3268","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Tue Dec 19 10:21:26 GMT 2023","Tue Dec 19 10:21:30 GMT 2023","4078","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Dec 19 10:22:17 GMT 2023","Tue Dec 19 10:22:29 GMT 2023","11284","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Dec 19 10:22:37 GMT 2023","Tue Dec 19 10:22:41 GMT 2023","3152","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Dec 19 10:22:08 GMT 2023","Tue Dec 19 10:22:16 GMT 2023","8118","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
