"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 26 10:36:06 GMT 2023","Thu Oct 26 10:36:18 GMT 2023","11792","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Oct 26 10:36:20 GMT 2023","Thu Oct 26 10:36:27 GMT 2023","6699","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Oct 26 10:36:33 GMT 2023","Thu Oct 26 10:36:49 GMT 2023","15678","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Oct 26 10:37:26 GMT 2023","Thu Oct 26 10:37:39 GMT 2023","13200","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Oct 26 10:37:02 GMT 2023","Thu Oct 26 10:37:15 GMT 2023","12269","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Oct 26 10:36:49 GMT 2023","Thu Oct 26 10:37:02 GMT 2023","13506","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Oct 26 10:37:48 GMT 2023","Thu Oct 26 10:37:52 GMT 2023","3478","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Oct 26 10:37:39 GMT 2023","Thu Oct 26 10:37:48 GMT 2023","8787","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Oct 26 10:37:15 GMT 2023","Thu Oct 26 10:37:24 GMT 2023","9335","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Oct 26 10:36:27 GMT 2023","Thu Oct 26 10:36:31 GMT 2023","3929","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
