"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 16:26:24 GMT 2023","Tue Oct 10 16:26:41 GMT 2023","16445","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Tue Oct 10 16:27:22 GMT 2023","Tue Oct 10 16:27:37 GMT 2023","14569","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Oct 10 16:27:09 GMT 2023","Tue Oct 10 16:27:20 GMT 2023","11180","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Oct 10 16:27:47 GMT 2023","Tue Oct 10 16:27:52 GMT 2023","4588","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Oct 10 16:26:17 GMT 2023","Tue Oct 10 16:26:21 GMT 2023","4335","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Tue Oct 10 16:25:54 GMT 2023","Tue Oct 10 16:26:08 GMT 2023","14299","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Oct 10 16:26:41 GMT 2023","Tue Oct 10 16:26:56 GMT 2023","14621","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Oct 10 16:27:37 GMT 2023","Tue Oct 10 16:27:47 GMT 2023","10213","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Oct 10 16:26:11 GMT 2023","Tue Oct 10 16:26:17 GMT 2023","6209","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Oct 10 16:26:56 GMT 2023","Tue Oct 10 16:27:08 GMT 2023","12925","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
