"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 10:04:56 GMT 2024","Fri Jan 05 10:05:01 GMT 2024","5316","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Fri Jan 05 10:06:06 GMT 2024","Fri Jan 05 10:06:10 GMT 2024","3986","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Jan 05 10:05:58 GMT 2024","Fri Jan 05 10:06:06 GMT 2024","7354","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Jan 05 10:05:01 GMT 2024","Fri Jan 05 10:05:05 GMT 2024","3983","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Fri Jan 05 10:04:45 GMT 2024","Fri Jan 05 10:04:54 GMT 2024","9337","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Jan 05 10:05:39 GMT 2024","Fri Jan 05 10:05:48 GMT 2024","8366","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Jan 05 10:05:20 GMT 2024","Fri Jan 05 10:05:30 GMT 2024","10159","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Jan 05 10:05:30 GMT 2024","Fri Jan 05 10:05:39 GMT 2024","9357","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Jan 05 10:05:49 GMT 2024","Fri Jan 05 10:05:58 GMT 2024","9189","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Jan 05 10:05:07 GMT 2024","Fri Jan 05 10:05:20 GMT 2024","12807","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
