"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 10:41:32 GMT 2024","Tue Jan 09 10:41:42 GMT 2024","10198","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Jan 09 10:41:02 GMT 2024","Tue Jan 09 10:41:05 GMT 2024","3439","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Tue Jan 09 10:40:45 GMT 2024","Tue Jan 09 10:40:54 GMT 2024","9437","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Jan 09 10:41:21 GMT 2024","Tue Jan 09 10:41:32 GMT 2024","11028","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Jan 09 10:42:06 GMT 2024","Tue Jan 09 10:42:15 GMT 2024","9018","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Jan 09 10:40:56 GMT 2024","Tue Jan 09 10:41:02 GMT 2024","5944","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Jan 09 10:41:52 GMT 2024","Tue Jan 09 10:42:06 GMT 2024","13622","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Jan 09 10:41:42 GMT 2024","Tue Jan 09 10:41:51 GMT 2024","8808","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Jan 09 10:42:15 GMT 2024","Tue Jan 09 10:42:18 GMT 2024","3231","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Jan 09 10:41:07 GMT 2024","Tue Jan 09 10:41:21 GMT 2024","14023","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
