"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 10:52:49 GMT 2023","Wed Nov 29 10:53:00 GMT 2023","10683","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Nov 29 10:53:36 GMT 2023","Wed Nov 29 10:53:39 GMT 2023","3729","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 29 10:53:00 GMT 2023","Wed Nov 29 10:53:10 GMT 2023","9973","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Nov 29 10:52:25 GMT 2023","Wed Nov 29 10:52:31 GMT 2023","5721","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Nov 29 10:53:10 GMT 2023","Wed Nov 29 10:53:18 GMT 2023","8529","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Nov 29 10:53:29 GMT 2023","Wed Nov 29 10:53:36 GMT 2023","6450","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Nov 29 10:52:31 GMT 2023","Wed Nov 29 10:52:34 GMT 2023","3064","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Wed Nov 29 10:53:20 GMT 2023","Wed Nov 29 10:53:29 GMT 2023","9403","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Wed Nov 29 10:52:14 GMT 2023","Wed Nov 29 10:52:23 GMT 2023","9825","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 29 10:52:35 GMT 2023","Wed Nov 29 10:52:49 GMT 2023","13698","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
