"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 18 10:21:10 GMT 2023","Wed Oct 18 10:21:14 GMT 2023","3895","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Oct 18 10:21:57 GMT 2023","Wed Oct 18 10:22:08 GMT 2023","10797","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Oct 18 10:21:31 GMT 2023","Wed Oct 18 10:21:45 GMT 2023","14072","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Oct 18 10:22:10 GMT 2023","Wed Oct 18 10:22:23 GMT 2023","12208","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Oct 18 10:21:05 GMT 2023","Wed Oct 18 10:21:10 GMT 2023","5647","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Wed Oct 18 10:20:52 GMT 2023","Wed Oct 18 10:21:02 GMT 2023","10398","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Oct 18 10:22:32 GMT 2023","Wed Oct 18 10:22:36 GMT 2023","4148","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Oct 18 10:22:23 GMT 2023","Wed Oct 18 10:22:32 GMT 2023","9627","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Oct 18 10:21:16 GMT 2023","Wed Oct 18 10:21:31 GMT 2023","14413","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Oct 18 10:21:45 GMT 2023","Wed Oct 18 10:21:57 GMT 2023","12268","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
