"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 10:51:50 GMT 2023","Wed Dec 06 10:51:55 GMT 2023","5402","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Dec 06 10:53:04 GMT 2023","Wed Dec 06 10:53:07 GMT 2023","2954","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Dec 06 10:52:00 GMT 2023","Wed Dec 06 10:52:13 GMT 2023","13118","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Dec 06 10:52:56 GMT 2023","Wed Dec 06 10:53:04 GMT 2023","8501","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Dec 06 10:52:24 GMT 2023","Wed Dec 06 10:52:34 GMT 2023","10079","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Wed Dec 06 10:51:39 GMT 2023","Wed Dec 06 10:51:48 GMT 2023","8916","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Dec 06 10:52:34 GMT 2023","Wed Dec 06 10:52:42 GMT 2023","8282","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Dec 06 10:52:13 GMT 2023","Wed Dec 06 10:52:24 GMT 2023","10316","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Dec 06 10:51:55 GMT 2023","Wed Dec 06 10:51:59 GMT 2023","3520","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Dec 06 10:52:44 GMT 2023","Wed Dec 06 10:52:56 GMT 2023","12212","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
