"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 10:56:47 GMT 2023","Tue Nov 21 10:56:58 GMT 2023","10777","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Tue Nov 21 10:56:18 GMT 2023","Tue Nov 21 10:56:26 GMT 2023","7461","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Nov 21 10:57:08 GMT 2023","Tue Nov 21 10:57:17 GMT 2023","8711","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Nov 21 10:56:58 GMT 2023","Tue Nov 21 10:57:08 GMT 2023","10015","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Nov 21 10:56:36 GMT 2023","Tue Nov 21 10:56:47 GMT 2023","11600","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Tue Nov 21 10:56:27 GMT 2023","Tue Nov 21 10:56:31 GMT 2023","4250","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Tue Nov 21 10:57:18 GMT 2023","Tue Nov 21 10:57:27 GMT 2023","8244","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Tue Nov 21 10:57:27 GMT 2023","Tue Nov 21 10:57:33 GMT 2023","6369","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Nov 21 10:57:33 GMT 2023","Tue Nov 21 10:57:36 GMT 2023","2690","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Nov 21 10:56:32 GMT 2023","Tue Nov 21 10:56:34 GMT 2023","2644","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
