"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 10:42:43 GMT 2023","Fri Oct 27 10:42:58 GMT 2023","15178","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Oct 27 10:43:49 GMT 2023","Fri Oct 27 10:43:53 GMT 2023","4080","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Oct 27 10:41:56 GMT 2023","Fri Oct 27 10:42:08 GMT 2023","11790","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Oct 27 10:43:10 GMT 2023","Fri Oct 27 10:43:22 GMT 2023","11713","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Oct 27 10:43:24 GMT 2023","Fri Oct 27 10:43:39 GMT 2023","14925","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Oct 27 10:42:17 GMT 2023","Fri Oct 27 10:42:22 GMT 2023","5158","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Oct 27 10:43:39 GMT 2023","Fri Oct 27 10:43:49 GMT 2023","9372","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Oct 27 10:42:10 GMT 2023","Fri Oct 27 10:42:17 GMT 2023","6163","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Fri Oct 27 10:42:26 GMT 2023","Fri Oct 27 10:42:43 GMT 2023","17040","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Oct 27 10:42:58 GMT 2023","Fri Oct 27 10:43:10 GMT 2023","12187","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
