"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 09 10:04:38 GMT 2023","Thu Nov 09 10:04:45 GMT 2023","7398","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Nov 09 10:03:26 GMT 2023","Thu Nov 09 10:03:30 GMT 2023","4076","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Thu Nov 09 10:04:28 GMT 2023","Thu Nov 09 10:04:38 GMT 2023","9923","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Nov 09 10:03:33 GMT 2023","Thu Nov 09 10:03:50 GMT 2023","17002","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Thu Nov 09 10:03:06 GMT 2023","Thu Nov 09 10:03:18 GMT 2023","11949","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Nov 09 10:03:50 GMT 2023","Thu Nov 09 10:04:04 GMT 2023","13612","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Nov 09 10:04:04 GMT 2023","Thu Nov 09 10:04:15 GMT 2023","11619","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Nov 09 10:03:20 GMT 2023","Thu Nov 09 10:03:26 GMT 2023","6170","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Nov 09 10:04:45 GMT 2023","Thu Nov 09 10:04:50 GMT 2023","4728","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Nov 09 10:04:15 GMT 2023","Thu Nov 09 10:04:26 GMT 2023","10228","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
