"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 10:50:26 GMT 2023","Fri Oct 20 10:50:30 GMT 2023","3918","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Oct 20 10:49:37 GMT 2023","Fri Oct 20 10:49:53 GMT 2023","16018","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Oct 20 10:48:43 GMT 2023","Fri Oct 20 10:48:55 GMT 2023","11559","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Oct 20 10:49:10 GMT 2023","Fri Oct 20 10:49:25 GMT 2023","14928","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Oct 20 10:48:58 GMT 2023","Fri Oct 20 10:49:03 GMT 2023","5532","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Fri Oct 20 10:50:18 GMT 2023","Fri Oct 20 10:50:26 GMT 2023","8290","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Oct 20 10:49:25 GMT 2023","Fri Oct 20 10:49:37 GMT 2023","12395","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Oct 20 10:50:05 GMT 2023","Fri Oct 20 10:50:18 GMT 2023","12697","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Oct 20 10:49:04 GMT 2023","Fri Oct 20 10:49:07 GMT 2023","3863","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Oct 20 10:49:53 GMT 2023","Fri Oct 20 10:50:03 GMT 2023","9894","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
