"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 16 10:22:58 GMT 2023","Thu Nov 16 10:23:05 GMT 2023","6898","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Nov 16 10:23:12 GMT 2023","Thu Nov 16 10:23:15 GMT 2023","2893","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Nov 16 10:22:39 GMT 2023","Thu Nov 16 10:22:49 GMT 2023","9736","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Nov 16 10:22:49 GMT 2023","Thu Nov 16 10:22:57 GMT 2023","8002","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Thu Nov 16 10:21:58 GMT 2023","Thu Nov 16 10:22:06 GMT 2023","8118","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Nov 16 10:22:12 GMT 2023","Thu Nov 16 10:22:15 GMT 2023","3040","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Thu Nov 16 10:22:08 GMT 2023","Thu Nov 16 10:22:12 GMT 2023","4455","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Nov 16 10:22:29 GMT 2023","Thu Nov 16 10:22:39 GMT 2023","10407","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Thu Nov 16 10:23:05 GMT 2023","Thu Nov 16 10:23:12 GMT 2023","6762","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Nov 16 10:22:17 GMT 2023","Thu Nov 16 10:22:29 GMT 2023","12222","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
