"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 10:33:25 GMT 2023","Fri Nov 17 10:33:36 GMT 2023","10833","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Nov 17 10:33:13 GMT 2023","Fri Nov 17 10:33:25 GMT 2023","11664","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Nov 17 10:33:55 GMT 2023","Fri Nov 17 10:34:03 GMT 2023","7838","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Nov 17 10:33:03 GMT 2023","Fri Nov 17 10:33:09 GMT 2023","5488","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Fri Nov 17 10:32:53 GMT 2023","Fri Nov 17 10:33:02 GMT 2023","8234","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Nov 17 10:34:10 GMT 2023","Fri Nov 17 10:34:12 GMT 2023","2688","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Nov 17 10:33:45 GMT 2023","Fri Nov 17 10:33:53 GMT 2023","7902","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Nov 17 10:33:36 GMT 2023","Fri Nov 17 10:33:45 GMT 2023","9689","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Fri Nov 17 10:33:09 GMT 2023","Fri Nov 17 10:33:12 GMT 2023","2715","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Fri Nov 17 10:34:03 GMT 2023","Fri Nov 17 10:34:10 GMT 2023","7052","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
