"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 10:06:21 GMT 2023","Thu Dec 21 10:06:24 GMT 2023","2884","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Dec 21 10:06:13 GMT 2023","Thu Dec 21 10:06:21 GMT 2023","8403","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Dec 21 10:06:02 GMT 2023","Thu Dec 21 10:06:13 GMT 2023","10936","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Dec 21 10:05:11 GMT 2023","Thu Dec 21 10:05:15 GMT 2023","4450","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Dec 21 10:05:33 GMT 2023","Thu Dec 21 10:05:43 GMT 2023","10559","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Dec 21 10:05:43 GMT 2023","Thu Dec 21 10:05:53 GMT 2023","9748","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Thu Dec 21 10:05:01 GMT 2023","Thu Dec 21 10:05:09 GMT 2023","8127","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Dec 21 10:05:53 GMT 2023","Thu Dec 21 10:06:01 GMT 2023","7703","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Dec 21 10:05:15 GMT 2023","Thu Dec 21 10:05:19 GMT 2023","3388","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Thu Dec 21 10:05:21 GMT 2023","Thu Dec 21 10:05:33 GMT 2023","11885","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
