"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 04 10:22:10 GMT 2024","Thu Jan 04 10:22:17 GMT 2024","7162","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Thu Jan 04 10:23:17 GMT 2024","Thu Jan 04 10:23:24 GMT 2024","7162","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Thu Jan 04 10:23:09 GMT 2024","Thu Jan 04 10:23:17 GMT 2024","7510","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Jan 04 10:22:28 GMT 2024","Thu Jan 04 10:22:39 GMT 2024","11355","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Jan 04 10:22:50 GMT 2024","Thu Jan 04 10:22:59 GMT 2024","9035","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Jan 04 10:22:59 GMT 2024","Thu Jan 04 10:23:08 GMT 2024","8388","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Jan 04 10:22:39 GMT 2024","Thu Jan 04 10:22:50 GMT 2024","10765","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Jan 04 10:23:24 GMT 2024","Thu Jan 04 10:23:27 GMT 2024","3331","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Jan 04 10:22:23 GMT 2024","Thu Jan 04 10:22:27 GMT 2024","3375","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Thu Jan 04 10:22:19 GMT 2024","Thu Jan 04 10:22:23 GMT 2024","4340","","Validação Banner","","","","Deve validar o baner do portal",""
