"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 10:34:17 GMT 2023","Wed Dec 13 10:34:27 GMT 2023","9730","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Dec 13 10:33:54 GMT 2023","Wed Dec 13 10:34:06 GMT 2023","12491","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Dec 13 10:34:57 GMT 2023","Wed Dec 13 10:35:00 GMT 2023","3114","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Dec 13 10:33:49 GMT 2023","Wed Dec 13 10:33:52 GMT 2023","3277","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Dec 13 10:33:45 GMT 2023","Wed Dec 13 10:33:49 GMT 2023","4098","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Dec 13 10:34:27 GMT 2023","Wed Dec 13 10:34:35 GMT 2023","8377","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Wed Dec 13 10:33:33 GMT 2023","Wed Dec 13 10:33:43 GMT 2023","9441","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Dec 13 10:34:06 GMT 2023","Wed Dec 13 10:34:17 GMT 2023","10810","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Dec 13 10:34:49 GMT 2023","Wed Dec 13 10:34:57 GMT 2023","8596","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Dec 13 10:34:37 GMT 2023","Wed Dec 13 10:34:48 GMT 2023","11772","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
