"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 10 10:49:18 GMT 2023","Fri Nov 10 10:49:30 GMT 2023","12118","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Nov 10 10:49:13 GMT 2023","Fri Nov 10 10:49:16 GMT 2023","2827","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Nov 10 10:49:40 GMT 2023","Fri Nov 10 10:49:50 GMT 2023","9968","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Nov 10 10:50:00 GMT 2023","Fri Nov 10 10:50:09 GMT 2023","8479","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Nov 10 10:50:09 GMT 2023","Fri Nov 10 10:50:15 GMT 2023","6182","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Nov 10 10:49:08 GMT 2023","Fri Nov 10 10:49:13 GMT 2023","5510","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Fri Nov 10 10:48:58 GMT 2023","Fri Nov 10 10:49:06 GMT 2023","7850","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Nov 10 10:50:15 GMT 2023","Fri Nov 10 10:50:18 GMT 2023","3090","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Nov 10 10:49:30 GMT 2023","Fri Nov 10 10:49:40 GMT 2023","10583","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Nov 10 10:49:50 GMT 2023","Fri Nov 10 10:49:59 GMT 2023","8517","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
