"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 11:08:56 GMT 2023","Tue Dec 12 11:09:04 GMT 2023","8223","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Tue Dec 12 11:08:02 GMT 2023","Tue Dec 12 11:08:15 GMT 2023","12368","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Tue Dec 12 11:08:26 GMT 2023","Tue Dec 12 11:08:35 GMT 2023","9758","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Dec 12 11:08:35 GMT 2023","Tue Dec 12 11:08:43 GMT 2023","7932","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Dec 12 11:09:04 GMT 2023","Tue Dec 12 11:09:07 GMT 2023","3277","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Dec 12 11:07:52 GMT 2023","Tue Dec 12 11:07:57 GMT 2023","4660","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Dec 12 11:08:45 GMT 2023","Tue Dec 12 11:08:56 GMT 2023","11174","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Tue Dec 12 11:07:43 GMT 2023","Tue Dec 12 11:07:51 GMT 2023","7701","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Tue Dec 12 11:08:15 GMT 2023","Tue Dec 12 11:08:26 GMT 2023","10729","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Tue Dec 12 11:07:57 GMT 2023","Tue Dec 12 11:08:01 GMT 2023","3469","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
