"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 10:52:23 GMT 2023","Mon Nov 13 10:52:34 GMT 2023","11405","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Mon Nov 13 10:53:15 GMT 2023","Mon Nov 13 10:53:26 GMT 2023","10563","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Mon Nov 13 10:53:52 GMT 2023","Mon Nov 13 10:53:55 GMT 2023","3296","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Mon Nov 13 10:53:45 GMT 2023","Mon Nov 13 10:53:52 GMT 2023","6493","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Mon Nov 13 10:52:01 GMT 2023","Mon Nov 13 10:52:21 GMT 2023","20050","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Mon Nov 13 10:53:26 GMT 2023","Mon Nov 13 10:53:34 GMT 2023","8520","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Mon Nov 13 10:53:01 GMT 2023","Mon Nov 13 10:53:15 GMT 2023","14382","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Mon Nov 13 10:53:36 GMT 2023","Mon Nov 13 10:53:45 GMT 2023","9745","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Mon Nov 13 10:52:34 GMT 2023","Mon Nov 13 10:52:39 GMT 2023","4619","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Mon Nov 13 10:52:40 GMT 2023","Mon Nov 13 10:53:01 GMT 2023","20250","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
