"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 10:32:29 GMT 2023","Fri Dec 22 10:32:43 GMT 2023","13672","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Fri Dec 22 10:32:43 GMT 2023","Fri Dec 22 10:32:54 GMT 2023","10735","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Dec 22 10:33:04 GMT 2023","Fri Dec 22 10:33:12 GMT 2023","8281","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Dec 22 10:32:25 GMT 2023","Fri Dec 22 10:32:28 GMT 2023","3425","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Dec 22 10:33:35 GMT 2023","Fri Dec 22 10:33:38 GMT 2023","3120","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Fri Dec 22 10:33:27 GMT 2023","Fri Dec 22 10:33:35 GMT 2023","8591","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Dec 22 10:32:54 GMT 2023","Fri Dec 22 10:33:04 GMT 2023","10154","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Fri Dec 22 10:33:14 GMT 2023","Fri Dec 22 10:33:27 GMT 2023","12788","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Dec 22 10:32:08 GMT 2023","Fri Dec 22 10:32:18 GMT 2023","9630","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Dec 22 10:32:19 GMT 2023","Fri Dec 22 10:32:24 GMT 2023","5410","","Validação Banner","","","","Deve validar o baner do portal",""
