"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 11:08:42 GMT 2023","Tue Nov 28 11:08:46 GMT 2023","3999","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Tue Nov 28 11:08:51 GMT 2023","Tue Nov 28 11:09:03 GMT 2023","12382","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Tue Nov 28 11:09:14 GMT 2023","Tue Nov 28 11:09:23 GMT 2023","9332","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Tue Nov 28 11:09:03 GMT 2023","Tue Nov 28 11:09:14 GMT 2023","10540","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Tue Nov 28 11:09:41 GMT 2023","Tue Nov 28 11:09:47 GMT 2023","5870","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Tue Nov 28 11:09:33 GMT 2023","Tue Nov 28 11:09:41 GMT 2023","8012","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Tue Nov 28 11:09:23 GMT 2023","Tue Nov 28 11:09:31 GMT 2023","8182","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Tue Nov 28 11:09:47 GMT 2023","Tue Nov 28 11:09:49 GMT 2023","2682","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Tue Nov 28 11:08:46 GMT 2023","Tue Nov 28 11:08:49 GMT 2023","3031","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Tue Nov 28 11:08:32 GMT 2023","Tue Nov 28 11:08:40 GMT 2023","8093","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
