"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 11:00:44 GMT 2024","Fri Jan 05 11:00:54 GMT 2024","10580","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Jan 05 11:00:27 GMT 2024","Fri Jan 05 11:00:30 GMT 2024","3325","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Fri Jan 05 11:00:23 GMT 2024","Fri Jan 05 11:00:27 GMT 2024","4436","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Fri Jan 05 11:00:54 GMT 2024","Fri Jan 05 11:01:04 GMT 2024","9404","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Fri Jan 05 11:00:32 GMT 2024","Fri Jan 05 11:00:44 GMT 2024","11728","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Jan 05 11:01:13 GMT 2024","Fri Jan 05 11:01:21 GMT 2024","8046","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Jan 05 11:00:13 GMT 2024","Fri Jan 05 11:00:21 GMT 2024","8376","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Fri Jan 05 11:01:21 GMT 2024","Fri Jan 05 11:01:29 GMT 2024","7235","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Jan 05 11:01:04 GMT 2024","Fri Jan 05 11:01:12 GMT 2024","8027","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Fri Jan 05 11:01:29 GMT 2024","Fri Jan 05 11:01:33 GMT 2024","4044","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
