"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 10:44:07 GMT 2023","Wed Nov 08 10:44:17 GMT 2023","9676","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Nov 08 10:44:17 GMT 2023","Wed Nov 08 10:44:25 GMT 2023","7755","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Nov 08 10:44:48 GMT 2023","Wed Nov 08 10:44:51 GMT 2023","3496","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 08 10:44:39 GMT 2023","Wed Nov 08 10:44:48 GMT 2023","8889","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Nov 08 10:43:38 GMT 2023","Wed Nov 08 10:43:41 GMT 2023","3161","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Nov 08 10:44:26 GMT 2023","Wed Nov 08 10:44:39 GMT 2023","12601","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Nov 08 10:43:32 GMT 2023","Wed Nov 08 10:43:38 GMT 2023","6063","","Validação Banner","","","","Deve validar o baner do portal",""
"failed","Wed Nov 08 10:43:21 GMT 2023","Wed Nov 08 10:43:31 GMT 2023","9281","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 08 10:43:43 GMT 2023","Wed Nov 08 10:43:56 GMT 2023","13151","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Nov 08 10:43:56 GMT 2023","Wed Nov 08 10:44:07 GMT 2023","11195","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
