"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 02 10:22:26 GMT 2023","Thu Nov 02 10:22:30 GMT 2023","3369","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Nov 02 10:21:14 GMT 2023","Thu Nov 02 10:21:28 GMT 2023","14048","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Nov 02 10:22:18 GMT 2023","Thu Nov 02 10:22:26 GMT 2023","8470","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Thu Nov 02 10:21:53 GMT 2023","Thu Nov 02 10:22:03 GMT 2023","9256","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Nov 02 10:21:02 GMT 2023","Thu Nov 02 10:21:08 GMT 2023","6046","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Nov 02 10:22:05 GMT 2023","Thu Nov 02 10:22:18 GMT 2023","12910","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Nov 02 10:21:42 GMT 2023","Thu Nov 02 10:21:53 GMT 2023","11858","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Thu Nov 02 10:20:50 GMT 2023","Thu Nov 02 10:20:59 GMT 2023","9848","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Nov 02 10:21:28 GMT 2023","Thu Nov 02 10:21:42 GMT 2023","13603","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Nov 02 10:21:08 GMT 2023","Thu Nov 02 10:21:12 GMT 2023","3588","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
