"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 10:32:58 GMT 2023","Wed Dec 20 10:33:01 GMT 2023","3141","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Dec 20 10:32:36 GMT 2023","Wed Dec 20 10:32:49 GMT 2023","13383","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Dec 20 10:31:51 GMT 2023","Wed Dec 20 10:32:05 GMT 2023","13738","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Dec 20 10:31:29 GMT 2023","Wed Dec 20 10:31:39 GMT 2023","9623","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Dec 20 10:32:16 GMT 2023","Wed Dec 20 10:32:26 GMT 2023","9941","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Dec 20 10:32:26 GMT 2023","Wed Dec 20 10:32:34 GMT 2023","8571","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Dec 20 10:31:41 GMT 2023","Wed Dec 20 10:31:46 GMT 2023","5867","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Dec 20 10:32:05 GMT 2023","Wed Dec 20 10:32:16 GMT 2023","10620","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Dec 20 10:31:46 GMT 2023","Wed Dec 20 10:31:50 GMT 2023","3379","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"passed","Wed Dec 20 10:32:49 GMT 2023","Wed Dec 20 10:32:58 GMT 2023","9029","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
