"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 22 10:37:30 GMT 2023","Wed Nov 22 10:37:39 GMT 2023","8411","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 22 10:37:51 GMT 2023","Wed Nov 22 10:38:04 GMT 2023","13508","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Wed Nov 22 10:38:50 GMT 2023","Wed Nov 22 10:38:53 GMT 2023","3466","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Wed Nov 22 10:38:43 GMT 2023","Wed Nov 22 10:38:49 GMT 2023","6464","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Wed Nov 22 10:38:04 GMT 2023","Wed Nov 22 10:38:15 GMT 2023","10333","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Nov 22 10:37:46 GMT 2023","Wed Nov 22 10:37:49 GMT 2023","3195","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Wed Nov 22 10:38:34 GMT 2023","Wed Nov 22 10:38:43 GMT 2023","9032","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Nov 22 10:37:40 GMT 2023","Wed Nov 22 10:37:46 GMT 2023","5711","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Nov 22 10:38:15 GMT 2023","Wed Nov 22 10:38:24 GMT 2023","9486","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Wed Nov 22 10:38:24 GMT 2023","Wed Nov 22 10:38:32 GMT 2023","8259","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
