"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 10:31:03 GMT 2023","Thu Oct 26 10:31:16 GMT 2023","12195","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Thu Oct 26 10:31:27 GMT 2023","Thu Oct 26 10:31:39 GMT 2023","11717","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Thu Oct 26 10:31:16 GMT 2023","Thu Oct 26 10:31:25 GMT 2023","9606","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Thu Oct 26 10:30:50 GMT 2023","Thu Oct 26 10:31:03 GMT 2023","13686","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Thu Oct 26 10:31:48 GMT 2023","Thu Oct 26 10:31:52 GMT 2023","3672","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Thu Oct 26 10:30:35 GMT 2023","Thu Oct 26 10:30:50 GMT 2023","14425","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"passed","Thu Oct 26 10:30:29 GMT 2023","Thu Oct 26 10:30:33 GMT 2023","3619","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Thu Oct 26 10:30:11 GMT 2023","Thu Oct 26 10:30:21 GMT 2023","9722","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Thu Oct 26 10:30:23 GMT 2023","Thu Oct 26 10:30:29 GMT 2023","6239","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Thu Oct 26 10:31:39 GMT 2023","Thu Oct 26 10:31:48 GMT 2023","8897","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
