"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 10:57:37 GMT 2023","Wed Nov 29 10:57:52 GMT 2023","14325","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Wed Nov 29 10:58:31 GMT 2023","Wed Nov 29 10:58:38 GMT 2023","6869","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Wed Nov 29 10:58:21 GMT 2023","Wed Nov 29 10:58:31 GMT 2023","9337","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Wed Nov 29 10:57:52 GMT 2023","Wed Nov 29 10:58:02 GMT 2023","10514","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Wed Nov 29 10:57:33 GMT 2023","Wed Nov 29 10:57:36 GMT 2023","3068","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Wed Nov 29 10:57:16 GMT 2023","Wed Nov 29 10:57:26 GMT 2023","9733","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Wed Nov 29 10:58:38 GMT 2023","Wed Nov 29 10:58:41 GMT 2023","3142","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"passed","Wed Nov 29 10:57:27 GMT 2023","Wed Nov 29 10:57:33 GMT 2023","5425","","Validação Banner","","","","Deve validar o baner do portal",""
"passed","Wed Nov 29 10:58:12 GMT 2023","Wed Nov 29 10:58:20 GMT 2023","8076","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"passed","Wed Nov 29 10:58:02 GMT 2023","Wed Nov 29 10:58:12 GMT 2023","9527","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
